customer_id,age,gender,subscription_type,monthly_watch_hours,favorite_genre,devices_used,avg_session_time,monthly_subscription_cost,payment_method,support_tickets,ads_tolerance,days_since_last_login,number_of_profiles,binge_watch_frequency,content_rating_given,account_age_months,auto_renew_enabled,churn
OTT-00050,18,Female,Standard,23.3,Thriller,2,1.65,278.89,Credit Card,3.0,Low,17,2,Sometimes,1.7,7,0,1
OTT-00051,38,Female,Basic,18.8,Action,1,1.87,107.81,Credit Card,0.0,Low,2,4,Sometimes,3.9,18,1,0
OTT-00052,30,Female,Premium,37.3,Drama,2,3.69,449.78,Net Banking,2.0,High,0,5,Always,2.0,21,1,0
OTT-00053,26,Male,Premium,35.3,Sci-Fi,3,1.48,373.46,Credit Card,2.0,Low,0,4,Rarely,4.7,5,1,0
OTT-00054,42,Female,Standard,15.0,Thriller,2,0.88,272.15,Credit Card,3.0,High,34,1,Sometimes,1.3,7,1,0
OTT-00055,47,Male,Basic,4.5,Sci-Fi,2,0.5,106.74,Credit Card,0.0,Medium,24,3,Sometimes,3.3,12,0,0
OTT-00056,46,Male,Basic,35.6,Drama,4,1.54,110.42,Credit Card,2.0,Medium,31,4,Sometimes,1.1,59,1,0
OTT-00057,24,Female,Standard,30.2,Action,5,1.82,214.83,UPI,0.0,Low,31,1,Often,4.9,17,1,1
OTT-00058,31,Female,Standard,27.2,Drama,5,1.68,277.7,Credit Card,0.0,Medium,16,2,Sometimes,1.9,58,1,1
OTT-00059,38,Other,Premium,21.5,Thriller,3,0.91,393.74,UPI,0.0,Low,3,5,Never,3.4,24,0,0
OTT-00060,46,Male,Basic,27.9,Action,3,1.74,130.84,UPI,2.0,Low,3,5,Often,4.8,37,1,0
OTT-00061,29,Female,Premium,29.8,Action,4,2.03,425.08,UPI,,High,5,4,Rarely,1.1,44,1,0
OTT-00062,32,Male,Standard,35.3,Action,3,1.97,231.14,Wallet,0.0,Low,15,3,Rarely,3.1,19,1,0
OTT-00063,21,Male,Standard,34.1,Comedy,1,1.39,263.89,Credit Card,0.0,Medium,26,4,Often,3.1,45,1,0
OTT-00064,20,Female,Standard,27.9,Thriller,4,1.14,226.42,Wallet,0.0,High,5,5,Sometimes,,16,0,0
OTT-00065,44,Female,Basic,19.4,Comedy,4,0.92,104.31,UPI,0.0,Low,3,5,Sometimes,3.6,25,1,0
OTT-00066,51,Female,Standard,8.1,Sci-Fi,2,0.5,265.12,Net Banking,3.0,Medium,2,2,Sometimes,3.2,27,1,1
OTT-00067,34,Male,Premium,35.4,Action,2,1.54,422.93,UPI,2.0,Medium,2,3,Sometimes,2.0,51,1,0
OTT-00068,47,Female,Standard,26.9,Comedy,1,1.78,238.54,UPI,0.0,Medium,0,3,Sometimes,3.8,55,0,0
OTT-00069,39,Male,Premium,26.5,Drama,4,1.4,377.19,Wallet,0.0,High,2,5,Rarely,2.9,42,0,0
OTT-00070,27,Female,Standard,10.7,Comedy,4,0.97,256.61,Wallet,3.0,High,3,5,Always,2.9,44,1,0
OTT-00071,39,Male,Basic,45.5,Romance,2,2.36,131.2,Credit Card,3.0,Medium,14,4,Sometimes,4.8,7,0,1
OTT-00072,53,Male,Standard,20.6,Sci-Fi,5,1.62,243.82,Credit Card,1.0,Medium,7,4,Rarely,,46,1,0
OTT-00073,34,Female,Standard,34.9,Action,5,1.65,267.11,UPI,0.0,Medium,4,2,Often,4.1,42,1,0
OTT-00074,53,Female,Standard,8.4,Action,2,0.56,269.07,Wallet,2.0,Medium,9,5,Always,4.5,8,1,0
OTT-00075,18,Male,Basic,17.4,Documentary,3,1.18,112.49,Credit Card,1.0,Medium,15,4,Rarely,3.3,15,1,0
OTT-00076,44,Male,Standard,12.2,Sci-Fi,4,0.59,275.93,Net Banking,1.0,Low,9,2,Sometimes,4.1,58,1,0
OTT-00077,36,Female,Basic,32.1,Sci-Fi,1,2.11,146.85,Net Banking,2.0,Low,0,3,Sometimes,2.2,16,0,0
OTT-00078,31,Male,Basic,28.0,Thriller,5,1.39,129.06,Net Banking,0.0,High,2,5,Rarely,1.7,8,1,0
OTT-00079,36,Male,Standard,22.4,Drama,3,0.99,228.8,UPI,4.0,Low,3,1,Often,3.8,36,1,0
OTT-00080,18,Male,Standard,12.7,Documentary,4,1.23,241.08,UPI,4.0,Medium,4,5,Sometimes,4.7,32,0,0
OTT-00081,32,Male,Premium,60.3,Sci-Fi,3,3.74,368.85,Wallet,0.0,High,0,4,Never,1.2,17,0,0
OTT-00082,39,Female,Standard,15.3,Documentary,4,0.64,276.67,UPI,4.0,Low,13,5,Always,4.1,36,1,0
OTT-00083,52,Female,Premium,22.8,Sci-Fi,4,1.05,493.19,Net Banking,2.0,Medium,6,1,Sometimes,1.1,22,1,0
OTT-00084,28,Female,Standard,60.4,Documentary,2,2.46,268.11,Credit Card,4.0,Low,22,5,Always,2.8,32,1,0
OTT-00085,25,Other,Standard,22.1,Thriller,2,0.98,224.8,Net Banking,3.0,High,7,4,Sometimes,3.7,58,1,1
OTT-00086,28,Male,Basic,50.0,Sci-Fi,1,3.77,121.67,Credit Card,0.0,Low,44,3,Sometimes,2.6,11,0,0
OTT-00087,45,Male,Premium,30.1,Comedy,1,2.73,412.81,Credit Card,0.0,Medium,12,4,Sometimes,2.2,45,0,0
OTT-00088,38,Male,Standard,46.3,Romance,3,4.0,276.52,Net Banking,0.0,Medium,21,2,Sometimes,1.7,6,1,0
OTT-00089,28,Male,Premium,47.1,Romance,2,4.03,481.88,UPI,0.0,Medium,36,4,Rarely,4.9,22,0,1
OTT-00090,41,Male,Standard,14.4,Romance,4,1.55,221.91,Net Banking,0.0,Low,6,2,Always,3.3,14,0,0
OTT-00091,36,Female,Basic,79.0,Sci-Fi,2,3.37,105.73,Credit Card,0.0,Medium,10,5,Rarely,1.5,28,1,0
OTT-00092,46,Female,Standard,49.8,Documentary,4,3.01,237.15,UPI,0.0,Low,24,2,Sometimes,1.2,39,1,0
OTT-00093,26,Male,Basic,24.3,Romance,2,2.5,110.03,UPI,0.0,Low,8,5,Never,2.0,12,1,0
OTT-00094,31,Female,Standard,44.6,Drama,4,2.13,220.22,UPI,0.0,Medium,0,2,Always,3.2,27,1,0
OTT-00095,30,Female,Basic,22.8,Comedy,3,1.68,99.8,Credit Card,,Low,11,4,Sometimes,4.0,1,1,0
OTT-00096,18,Female,Standard,45.1,Romance,2,4.9,207.64,Net Banking,0.0,Medium,27,1,Often,4.9,10,1,0
OTT-00097,38,Female,Premium,23.1,Action,5,2.06,458.6,Net Banking,3.0,High,15,5,Sometimes,4.3,33,0,1
OTT-00098,38,Female,Standard,42.0,Sci-Fi,5,2.19,216.5,Credit Card,3.0,High,15,2,Often,3.4,16,1,0
OTT-00099,35,Female,Premium,29.1,Comedy,4,1.35,415.9,Credit Card,0.0,Medium,0,1,Sometimes,3.7,39,1,0
OTT-00100,32,Female,Standard,44.3,Drama,3,3.6,297.85,Net Banking,1.0,Low,13,2,Sometimes,3.1,52,0,0
OTT-00101,18,Female,Standard,24.9,Romance,4,1.4,238.84,Net Banking,3.0,Medium,0,2,Sometimes,2.7,6,1,0
OTT-00102,29,Male,Premium,41.3,Drama,3,5.15,462.75,Net Banking,1.0,High,26,2,Never,4.1,54,1,0
OTT-00103,30,Male,Premium,28.6,Sci-Fi,1,2.25,494.07,Net Banking,2.0,High,24,4,Sometimes,1.7,25,1,0
OTT-00104,25,Female,Premium,32.7,Romance,2,2.95,452.97,UPI,4.0,Medium,39,2,Always,2.3,50,1,1
OTT-00105,33,Male,Basic,16.4,Action,3,1.76,144.01,UPI,0.0,High,3,1,Often,4.9,20,1,0
OTT-00106,39,Male,Standard,24.1,Comedy,4,1.49,203.25,Credit Card,0.0,High,7,2,Always,3.3,36,1,0
OTT-00107,57,Female,Basic,48.1,Documentary,1,2.57,115.05,Credit Card,1.0,High,8,3,Rarely,3.0,23,1,0
OTT-00108,37,Male,Standard,24.1,Action,4,2.74,257.46,Net Banking,1.0,Medium,8,5,Sometimes,4.4,16,0,1
OTT-00109,38,Female,Standard,29.2,Romance,5,2.82,207.07,Credit Card,0.0,High,5,4,Never,4.0,1,0,0
OTT-00110,34,Female,Premium,25.6,Thriller,5,1.07,490.76,Wallet,3.0,High,43,3,Often,,53,1,0
OTT-00111,18,Other,Premium,31.4,Comedy,2,2.66,350.98,Net Banking,2.0,Low,21,3,Often,3.5,30,1,0
OTT-00112,34,Female,Standard,13.9,Drama,2,0.66,298.47,Wallet,0.0,High,9,1,Often,1.7,27,1,0
OTT-00113,35,Male,Basic,23.3,Romance,1,1.12,136.61,Wallet,2.0,Low,10,1,Never,1.2,52,1,0
OTT-00114,64,Female,Premium,27.5,Action,5,2.04,459.43,UPI,2.0,Medium,12,4,Rarely,5.0,2,0,1
OTT-00115,32,Female,Basic,10.6,Sci-Fi,3,0.92,99.41,Net Banking,0.0,Medium,9,4,Often,3.9,48,1,0
OTT-00116,38,Other,Standard,72.2,Documentary,5,5.94,210.19,Credit Card,0.0,Medium,12,5,Often,4.7,21,1,0
OTT-00117,34,Male,Basic,35.4,Thriller,2,2.01,126.63,Credit Card,3.0,High,16,2,Rarely,4.3,9,0,0
OTT-00118,20,Male,Standard,39.3,Documentary,4,2.71,234.16,Net Banking,0.0,Medium,38,4,Sometimes,2.7,47,1,0
OTT-00119,48,Female,Premium,42.0,Sci-Fi,1,2.56,437.56,Credit Card,0.0,Low,18,4,Sometimes,4.4,24,1,0
OTT-00120,44,Male,Basic,33.5,Romance,5,1.54,142.6,Wallet,0.0,Low,1,2,Never,4.1,48,0,0
OTT-00121,44,Female,Standard,67.0,Drama,3,4.05,295.03,Net Banking,3.0,Medium,7,5,Sometimes,2.0,41,1,0
OTT-00122,24,Male,Standard,20.0,Action,3,,285.47,Net Banking,0.0,Medium,9,1,Often,3.5,39,1,0
OTT-00123,51,Male,Premium,11.4,Comedy,3,0.59,456.71,Credit Card,0.0,Low,3,5,Rarely,2.2,42,1,0
OTT-00124,18,Male,Premium,22.7,Thriller,1,1.97,448.9,Net Banking,2.0,Medium,6,2,Often,1.9,7,0,0
OTT-00125,42,Male,Basic,47.5,Romance,3,2.88,106.59,Credit Card,0.0,Low,26,1,Rarely,1.3,30,1,0
OTT-00126,61,Female,Basic,11.9,Romance,3,0.55,145.5,Net Banking,0.0,Medium,2,1,Often,3.2,45,1,0
OTT-00127,23,Female,Standard,27.4,Romance,5,,215.16,Credit Card,0.0,Low,3,1,Sometimes,2.6,2,1,0
OTT-00128,28,Male,Standard,19.1,Romance,1,0.94,263.86,Net Banking,,Medium,23,5,Always,1.4,12,1,0
OTT-00129,36,Female,Standard,47.3,Action,4,5.52,213.82,Credit Card,0.0,Low,0,2,Sometimes,3.9,13,1,0
OTT-00130,28,Male,Basic,44.5,Comedy,4,1.85,137.57,Credit Card,0.0,Low,21,5,Rarely,3.9,3,1,1
OTT-00131,18,Female,Basic,10.8,Drama,3,0.56,143.48,UPI,2.0,High,3,5,Often,1.9,43,0,0
OTT-00132,35,Male,Standard,8.2,Thriller,2,0.76,297.7,Credit Card,0.0,Medium,6,3,Often,4.8,58,0,1
OTT-00133,22,Female,Basic,27.6,Documentary,1,1.21,127.16,Net Banking,2.0,Medium,10,4,Never,4.1,40,1,0
OTT-00134,40,Female,Premium,28.1,Romance,2,2.99,463.33,Credit Card,2.0,Medium,10,5,Never,4.2,43,0,0
OTT-00135,23,Female,Basic,23.5,Sci-Fi,1,1.58,102.44,Credit Card,2.0,Medium,39,3,Rarely,1.0,18,1,0
OTT-00136,53,Female,Basic,13.6,Romance,1,0.66,142.36,UPI,0.0,Medium,0,2,Often,4.9,39,1,0
OTT-00137,25,Female,Premium,18.7,Comedy,5,0.78,466.71,Credit Card,0.0,Medium,12,3,Sometimes,5.0,44,1,0
OTT-00138,31,Other,Standard,39.4,Comedy,3,2.83,276.02,UPI,2.0,Medium,18,5,Sometimes,3.0,6,1,0
OTT-00139,44,Female,Standard,9.8,Action,5,0.5,230.68,Net Banking,0.0,Low,8,2,Often,4.9,42,1,0
OTT-00140,20,Female,Basic,49.0,Action,2,4.32,100.67,Credit Card,1.0,Low,37,3,Often,3.4,52,1,0
OTT-00141,37,Female,Standard,20.1,Sci-Fi,2,2.34,269.04,Credit Card,0.0,High,5,5,Often,,27,1,0
OTT-00142,50,Male,Standard,78.0,Sci-Fi,4,8.0,294.2,Credit Card,0.0,High,13,2,Sometimes,4.3,15,0,0
OTT-00143,18,Female,Standard,16.0,Action,5,0.83,209.27,UPI,2.0,Low,11,2,Sometimes,3.2,52,1,0
OTT-00144,37,Male,Premium,36.5,Thriller,5,3.44,453.01,UPI,1.0,Low,0,4,Rarely,2.4,15,0,1
OTT-00145,38,Female,Standard,96.6,Sci-Fi,5,,249.89,UPI,1.0,Low,8,5,Often,1.9,19,1,0
OTT-00146,44,Female,Standard,21.0,Action,4,0.85,240.85,Net Banking,0.0,Medium,3,4,Sometimes,3.1,38,1,0
OTT-00147,20,Female,Standard,26.8,Romance,5,2.21,240.08,Credit Card,1.0,Low,7,2,Rarely,3.8,51,0,0
OTT-00148,19,Male,Standard,50.0,Action,5,3.15,228.7,UPI,0.0,Medium,21,2,Sometimes,4.5,47,0,0
OTT-00149,41,Male,Basic,42.4,Documentary,5,2.3,133.03,UPI,4.0,High,9,3,Often,3.4,57,1,1
OTT-00150,38,Female,Standard,48.7,Thriller,5,4.66,287.33,UPI,0.0,High,9,4,Often,2.7,20,0,0
OTT-00151,38,Female,Standard,54.2,Action,2,3.85,215.09,Wallet,2.0,Low,11,1,Sometimes,3.5,20,1,0
OTT-00152,39,Male,Standard,11.8,Action,3,0.62,220.53,UPI,3.0,High,7,5,Rarely,3.0,18,0,0
OTT-00153,26,Male,Premium,33.0,Romance,2,1.75,379.02,Wallet,0.0,Medium,5,4,Often,3.6,34,1,0
OTT-00154,37,Female,Standard,53.6,Sci-Fi,5,2.4,204.62,Credit Card,0.0,Low,4,2,Often,3.4,39,1,0
OTT-00155,38,Female,Premium,25.1,Romance,1,1.63,380.2,Credit Card,3.0,Medium,12,3,Sometimes,4.9,37,1,1
OTT-00156,26,Male,Basic,33.5,Documentary,1,1.45,141.02,Credit Card,2.0,Medium,14,5,Rarely,3.5,35,1,1
OTT-00157,57,Male,Standard,33.1,Documentary,4,1.69,234.79,UPI,0.0,High,5,5,Rarely,3.8,38,1,1
OTT-00158,40,Male,Premium,,Romance,2,1.3,467.51,Credit Card,2.0,Low,0,3,Sometimes,4.6,38,1,0
OTT-00159,20,Other,Standard,25.4,Action,4,2.54,233.96,Credit Card,2.0,Low,7,2,Always,4.7,1,1,0
OTT-00160,42,Male,Standard,17.1,Romance,4,0.96,283.12,UPI,0.0,Medium,8,1,Often,1.6,51,1,0
OTT-00161,23,Male,Basic,28.1,Comedy,1,1.55,135.44,Credit Card,4.0,High,6,3,Always,2.8,12,1,0
OTT-00162,44,Male,Standard,55.7,Drama,2,2.67,253.8,Credit Card,1.0,High,4,1,Often,,5,0,0
OTT-00163,48,Male,Basic,54.6,Drama,3,2.7,120.78,Credit Card,0.0,Low,22,4,Sometimes,4.8,59,1,0
OTT-00164,25,Female,Premium,21.2,Romance,2,1.25,392.82,Wallet,,Low,6,5,Sometimes,1.8,27,1,1
OTT-00165,46,Male,Standard,9.6,Sci-Fi,4,0.53,270.32,Credit Card,4.0,High,16,2,Rarely,2.8,39,1,1
OTT-00166,39,Male,Premium,28.8,Thriller,5,1.36,378.12,Net Banking,0.0,Medium,10,1,Often,2.1,20,1,0
OTT-00167,44,Male,Standard,10.1,Documentary,4,0.72,204.04,UPI,0.0,High,15,2,Sometimes,4.2,40,0,1
OTT-00168,57,Male,Standard,22.1,Romance,2,2.15,218.84,UPI,2.0,High,21,4,Rarely,4.4,19,1,0
OTT-00169,32,Male,Standard,47.8,Sci-Fi,1,2.09,219.19,Credit Card,0.0,Low,2,1,Never,2.9,38,1,0
OTT-00170,25,Female,Premium,22.4,Romance,2,0.92,453.5,UPI,1.0,Medium,17,2,Often,3.7,15,1,0
OTT-00171,24,Female,Premium,39.0,Action,3,2.55,404.66,UPI,0.0,Low,12,2,Sometimes,4.5,6,0,0
OTT-00172,25,Female,Basic,14.7,Documentary,5,0.59,129.31,UPI,0.0,High,8,4,Never,3.8,9,1,0
OTT-00173,34,Female,Standard,50.5,Documentary,5,3.74,275.3,Credit Card,1.0,Medium,7,3,Often,1.6,36,0,0
OTT-00174,39,Female,Standard,22.5,Sci-Fi,4,2.46,246.74,Credit Card,1.0,High,3,4,Often,3.8,48,1,0
OTT-00175,38,Male,Basic,46.1,Documentary,2,2.6,122.75,Wallet,2.0,High,7,1,Never,1.6,23,0,0
OTT-00176,44,Female,Standard,50.7,Thriller,1,2.23,237.65,UPI,1.0,Low,4,1,Sometimes,3.6,10,1,0
OTT-00177,35,Female,Premium,23.3,Romance,3,1.26,493.8,UPI,0.0,Low,21,5,Often,2.3,1,1,1
OTT-00178,52,Female,Standard,13.7,Comedy,4,1.68,234.92,UPI,0.0,Medium,8,2,Never,1.2,11,0,0
OTT-00179,31,Female,Standard,28.3,Sci-Fi,2,3.45,221.61,Wallet,0.0,High,3,1,Often,1.9,49,1,0
OTT-00180,67,Male,Standard,14.8,Drama,1,0.73,259.28,UPI,0.0,High,1,3,Sometimes,2.9,50,1,0
OTT-00181,42,Female,Standard,23.6,Sci-Fi,2,1.05,238.07,UPI,3.0,High,11,3,Often,5.0,20,1,0
OTT-00182,24,Female,Basic,29.0,Comedy,1,2.36,147.6,Wallet,1.0,Medium,10,4,Always,2.0,28,1,0
OTT-00183,22,Other,Standard,27.4,Documentary,2,1.71,201.22,Net Banking,0.0,Low,4,1,Often,4.9,22,1,0
OTT-00184,40,Male,Premium,12.7,Comedy,2,0.52,431.21,Credit Card,0.0,Low,1,1,Never,2.5,20,1,0
OTT-00185,32,Male,Standard,46.2,Documentary,4,2.92,250.24,Credit Card,3.0,Low,12,5,Sometimes,4.8,47,1,0
OTT-00186,43,Male,Basic,28.3,Comedy,2,2.75,125.92,Net Banking,4.0,Medium,3,5,Sometimes,4.8,38,1,0
OTT-00187,40,Female,Basic,50.4,Thriller,2,2.14,116.69,Net Banking,2.0,High,19,5,Sometimes,1.6,16,0,0
OTT-00188,34,Male,Basic,47.9,Thriller,4,2.92,134.95,UPI,1.0,Low,12,1,Always,4.3,2,1,1
OTT-00189,24,Male,Standard,43.6,Sci-Fi,4,3.15,208.64,UPI,3.0,High,22,4,Rarely,3.1,25,1,0
OTT-00190,18,Other,Premium,74.9,Thriller,5,7.76,453.52,UPI,1.0,Low,41,4,Always,3.7,27,1,0
OTT-00191,29,Male,Basic,22.5,Drama,5,1.42,113.9,UPI,1.0,Low,4,4,Always,4.1,3,1,0
OTT-00192,45,Female,Premium,21.4,Documentary,4,1.01,463.42,Net Banking,2.0,Medium,7,4,Always,1.5,23,1,1
OTT-00193,37,Male,Standard,43.6,Action,3,2.16,265.06,Credit Card,0.0,Medium,5,3,Often,4.2,32,1,0
OTT-00194,20,Female,Standard,17.4,Sci-Fi,1,1.06,222.24,Wallet,2.0,High,0,1,Sometimes,2.2,17,1,0
OTT-00195,37,Female,Premium,27.2,Romance,4,1.34,366.67,Net Banking,0.0,Medium,5,2,Rarely,3.9,40,1,0
OTT-00196,39,Female,Basic,37.5,Romance,5,2.69,108.69,UPI,0.0,Low,5,1,Often,3.3,20,1,0
OTT-00197,24,Female,Premium,49.1,Sci-Fi,2,2.4,420.65,Credit Card,2.0,High,1,4,Often,3.7,30,1,0
OTT-00198,36,Male,Basic,,Action,4,2.92,135.21,Credit Card,1.0,High,21,3,Sometimes,3.5,59,1,1
OTT-00199,35,Male,Standard,4.5,Romance,4,0.5,264.6,UPI,0.0,Medium,3,3,Often,4.2,28,0,1
OTT-00200,21,Male,Premium,47.6,Sci-Fi,5,2.08,491.93,Net Banking,1.0,Low,14,1,Rarely,4.6,47,1,0
OTT-00201,39,Female,Premium,49.8,Sci-Fi,5,3.83,406.36,UPI,4.0,Low,0,2,Often,2.8,45,1,0
OTT-00202,41,Female,Standard,23.1,Comedy,3,2.01,295.22,UPI,3.0,Low,0,4,Always,2.6,53,1,0
OTT-00203,47,Male,Standard,38.9,Drama,5,4.09,241.37,UPI,1.0,Low,54,3,Sometimes,2.0,23,0,1
OTT-00204,47,Female,Standard,53.4,Romance,5,3.64,222.95,Net Banking,1.0,High,1,4,Often,4.3,19,0,0
OTT-00205,18,Male,Premium,49.2,Drama,5,5.38,420.66,Credit Card,1.0,Low,14,4,Often,4.9,57,0,0
OTT-00206,23,Female,Basic,42.7,Documentary,2,2.6,142.01,UPI,2.0,Medium,9,4,Never,1.8,25,1,0
OTT-00207,41,Other,Premium,34.4,Sci-Fi,4,1.46,431.54,Net Banking,3.0,Medium,6,5,Rarely,2.8,24,1,0
OTT-00208,41,Male,Standard,77.7,Action,4,,223.51,UPI,0.0,High,0,4,Often,4.1,1,1,1
OTT-00209,41,Female,Standard,31.1,Sci-Fi,5,3.58,264.42,Net Banking,1.0,Low,3,4,Never,3.5,28,1,1
OTT-00210,70,Male,Standard,7.7,Romance,3,0.59,237.22,UPI,0.0,Medium,23,2,Always,4.3,29,1,0
